ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9594569,HX244572,04/30/2014 10:00:00 PM,002XX E 75TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,0623,006,6,69,14,1178983,1855293,2014,05/04/2014,41.75821706,-87.61960754,"(41.758217063451525, -87.61960753972215)"
9593370,HX243808,04/30/2014 10:00:00 PM,010XX W BALMORAL AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,2023,020,48,77,02,1168458,1936085,2014,05/07/2014,41.98014987,-87.65584369,"(41.98014987410605, -87.65584369217856)"
9593228,HX243648,04/30/2014 10:00:00 PM,029XX W MADISON ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,1222,012,2,27,16,1156997,1899923,2014,05/04/2014,41.88115972,-87.69897692,"(41.88115972446192, -87.69897692185536)"
9593260,HX243684,04/30/2014 10:00:00 PM,029XX W MADISON ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,1222,012,2,27,16,1156997,1899923,2014,05/04/2014,41.88115972,-87.69897692,"(41.88115972446192, -87.69897692185536)"
9593419,HX243869,04/30/2014 10:00:00 PM,056XX W WINDSOR AVE,0810,THEFT,OVER $500,STREET,false,false,1622,016,45,15,06,1137585,1929741,2014,05/03/2014,41.96335529,-87.76953769,"(41.963355291049716, -87.76953769008566)"
9593570,HX244003,04/30/2014 10:00:00 PM,007XX S KENNETH AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1131,011,24,26,06,1146847,1896249,2014,05/03/2014,41.87127766,-87.73634127,"(41.871277660785324, -87.7363412726427)"
9593388,HX243886,04/30/2014 10:00:00 PM,056XX S MORGAN ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0712,007,16,68,06,1170645,1867495,2014,05/04/2014,41.79188659,-87.64980999,"(41.79188658811637, -87.64980999403441)"
9593412,HX243895,04/30/2014 10:00:00 PM,032XX W MARQUETTE RD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0831,008,15,66,26,1155936,1860052,2014,05/03/2014,41.77177016,-87.70394541,"(41.77177015705055, -87.70394540689539)"
9593169,HX243645,04/30/2014 9:55:00 PM,051XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1533,015,28,25,18,1141939,1899573,2014,05/04/2014,41.8804914,-87.75427828,"(41.88049139549478, -87.75427827864576)"
9593202,HX243672,04/30/2014 9:55:00 PM,0000X E 75TH ST,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,true,false,0623,006,6,69,26,1177736,1855240,2014,05/03/2014,41.75809992,-87.62417925,"(41.75809992460724, -87.62417924537355)"
